"Suitable age range: 
Attendees should bring: 

Link: https://www.emfcamp.org/schedule/2024/542-karaoke-friday-night"
"Suitable age range: 
Attendees should bring: 

Link: https://www.emfcamp.org/schedule/2024/544-karaoke-sunday-night"
"~£5 if you want to print something; otherwise free
Suitable age range: 16+
Attendees should bring: A laptop and mouse, the software can be downloaded and installed at the workshop

Link: https://www.emfcamp.org/schedule/2024/412-not-just-for-toys-trinkets-learn-how-cad"
"£5
Suitable age range: 12+
Attendees should bring: Needle nosed pliers, side cutters

Link: https://www.emfcamp.org/schedule/2024/154-making-automata-from-paper-clips-and-beads"
"Suitable age range: 8+ with accompanying adult, 13+ without accompanying adult
Attendees should bring: Nothing

Link: https://www.emfcamp.org/schedule/2024/307-learn-to-crochet"
"10 GBP
Suitable age range: 4-100
Attendees should bring: nothing

Link: https://www.emfcamp.org/schedule/2024/171-learn-to-solder-workshop"
"£55
Suitable age range: 12 years or older. (Under 16s should be accompanied by an adult)
Attendees should bring: 

Link: https://www.emfcamp.org/schedule/2024/561-build-your-own-z80-retro-computer-kit"
"£5
Suitable age range: All ages
Attendees should bring: 

Link: https://www.emfcamp.org/schedule/2024/128-applied-string-theory"
"Suitable age range: 18+, 12+ if supervised by an adult
Attendees should bring: None

Link: https://www.emfcamp.org/schedule/2024/81-tool-and-knife-sharpening"
"expanses for material are about 4 pounds per participant, pay what you want/can afford
Suitable age range: from about 10 years
Attendees should bring: 

Link: https://www.emfcamp.org/schedule/2024/438-an-introduction-to-the-post-apocalyptic-skill-of-spinning"
"£1
Suitable age range: All ages
Attendees should bring: Mug or flask - We'll have some mugs for sale.

Link: https://www.emfcamp.org/schedule/2024/525-morning-pop-up-cafe"
"None - but attendees can give a donation to TOG
Suitable age range: All ages
Attendees should bring: 0

Link: https://www.emfcamp.org/schedule/2024/14-introduction-of-lockpicking-and-the-ethics-of-lockpicking"
"£3
Suitable age range: Aimed at adults, but supervised kids welcome.
Attendees should bring: Badge and soldering equipment provided. Children must be supervised.

Link: https://www.emfcamp.org/schedule/2024/531-soldering-workshop-beginners"
"Suitable age range: 14+
Attendees should bring: Laptop

Link: https://www.emfcamp.org/schedule/2024/361-eavesdropping-on-eastnor-s-bats"
"Suitable age range: around 10 upwards
Attendees should bring: None

Link: https://www.emfcamp.org/schedule/2024/563-mathematical-origami-kaleidocycle-folding"
"Suitable age range: around 10 upwards
Attendees should bring: None

Link: https://www.emfcamp.org/schedule/2024/296-mathematical-origami-kaleidocycle-folding"
"Donations to help feed the bees would be good, but people don't need to pay.
Suitable age range: All ages,  but It involves molten wax so children need to be supervised and probably need to be 8+
Attendees should bring: 

Link: https://www.emfcamp.org/schedule/2024/358-making-dipped-beeswax-candles"
"Suitable age range: All ages
Attendees should bring: 

Link: https://www.emfcamp.org/schedule/2024/569-infrastructure-club-meetup"
"Free
Suitable age range: 16 and up
Attendees should bring: None required

Link: https://www.emfcamp.org/schedule/2024/227-introduction-to-magic-tricks-cards-more"
"20 GBP
Suitable age range: 10-100
Attendees should bring: optional: laptop

Link: https://www.emfcamp.org/schedule/2024/172-led-strips-everywhere-for-everyone-workshop"
"Suitable age range: Aimed at adults, but supervised kids welcome.
Attendees should bring: Clothing protection from dyes, any natural fibres you want to dye.

Link: https://www.emfcamp.org/schedule/2024/605-dying-to-meet-you"
"£20
Suitable age range: 18+
Attendees should bring: n/a

Link: https://www.emfcamp.org/schedule/2024/432-luxury-leather-collar-making"
"Suitable age range: 12 and up
Attendees should bring: A laptop and ideally have already installed COGS from https://account.cogs.show/

Link: https://www.emfcamp.org/schedule/2024/330-build-your-own-high-tech-escape-room-puzzles"
"Suitable age range: Aimed at adults, but supervised kids welcome.
Attendees should bring: 

Link: https://www.emfcamp.org/schedule/2024/606-tangles-of-string"
"Depends on which kit is chosen, the simplest is £6 and the most expensive £15 to £20
Suitable age range: Adult although I've also put in a proposal for a youth workshop
Attendees should bring: Nothing, we provide all the equipment needed.

Link: https://www.emfcamp.org/schedule/2024/141-madlab-soldering-workshop"
"Suitable age range: Aimed at adults, but supervised kids welcome.
Attendees should bring: 

Link: https://www.emfcamp.org/schedule/2024/607-free-your-creative-soul"
"£15 (includes a furoshiki cloth to take home)
Suitable age range: All ages welcome but would be more enjoyable for ages 12+
Attendees should bring: Bring a variety of items you'd carry on the regular, such as laptop, water bottle, books, mobile phone and keys, etc. You will practice wrapping using these items.

Link: https://www.emfcamp.org/schedule/2024/35-furoshiki-the-art-of-fabric-wrapping"
"Suitable age range: All ages
Attendees should bring: Laptop

Link: https://www.emfcamp.org/schedule/2024/15-data-recovery-no-budget-no-skills-no-problem"
