100 Acre Wood (of Geeks)
Arcade
East Essex Hackspace CIO
Family Lounge
Hardware Hacking Area
Irish Embassy
Lockpicking Village Tent
Lounge
Main Bar
Maths Village
Null Sector
Scottish Consulate
Sense Without Sight meeting point
Stage A
Stage B
Stage C
Tekhnē-cal Village
Treadz 'n' Webz
Workshop 0 (Drop-in)
Workshop 1 (NottingHack)
Workshop 2 (Milliways)
Workshop 3 (Furry High Commission)
Workshop 4 (FieldFX)
Workshop 5 (Maths)
Workshop 6 (Hardware Hacking)
Youth Workshop
